release_date,required_age,price,windows,mac,linux,achievements,recommendations,developers,publishers,categories,genres,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,absolute_score,success_class
2017-12-21,0,0.0,True,False,False,37,1732007,['PUBG Corporation'],"['KRAFTON, Inc.']","['Multi-player', 'PvP', 'Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']",Action Adventure MassivelyMultiplayer FreeToPlay,0,0,0,0,463524,alto_successo
2015-04-13,17,0.0,True,False,False,77,1803063,['Rockstar North'],['Rockstar Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Action Adventure,19323,771,7101,74,1469938,alto_successo
2015-12-01,17,3.99,True,False,False,0,1165929,['Ubisoft Montreal'],['Ubisoft'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",Action,14204,682,2434,306,934317,alto_successo
2018-02-08,0,39.99,True,True,False,92,992825,['Facepunch Studios'],['Facepunch Studios'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']",Action Adventure Indie MassivelyMultiplayer RPG,21195,836,3675,231,891436,alto_successo
2020-11-04,0,0.0,True,False,False,12,1548,['Respawn'],['Electronic Arts'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']",Action Adventure FreeToPlay,9450,548,667,211,337787,alto_successo
2024-08-19,13,59.99,True,False,False,81,825294,['Game Science'],['Game Science'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Action Adventure RPG,0,0,0,0,1060562,alto_successo
2015-05-18,17,39.99,True,False,False,78,761658,['CD PROJEKT RED'],['CD PROJEKT RED'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",RPG,4411,521,927,184,759160,alto_successo
2022-02-24,16,59.99,True,False,False,42,749109,"['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Action RPG,11768,1587,5675,464,882430,alto_successo
2016-02-26,0,14.99,True,True,True,49,729406,['ConcernedApe'],['ConcernedApe'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",Indie RPG Simulation,4871,158,2053,87,827973,alto_successo
2020-12-09,17,59.99,True,False,False,57,735210,['CD PROJEKT RED'],['CD PROJEKT RED'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",RPG,4993,2657,3299,133,558241,alto_successo
2024-02-08,17,39.99,True,False,False,38,716326,['Arrowhead Game Studios'],['PlayStation Publishing LLC'],"['Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Family Sharing']",Action,0,0,0,0,508361,alto_successo
2023-08-03,17,59.99,True,True,False,54,647659,['Larian Studios'],['Larian Studios'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Adventure RPG Strategy,9387,967,5712,493,686587,alto_successo
2019-12-05,17,59.99,True,False,False,51,640318,['Rockstar Games'],['Rockstar Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']",Action Adventure,0,0,0,0,584086,alto_successo
2019-10-01,0,0.0,True,False,False,23,127458,['Bungie'],['Bungie'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']",Action Adventure FreeToPlay,10441,765,435,473,368995,alto_successo
